Year Code,Single-Year Ages Code,Sex Code,Deaths,Population
2001.0,51,M,11034,1862989
2001.0,51,T,17558,3796980
2001.0,52,F,7135,1867556
2001.0,52,M,11402,1786849
2001.0,52,T,18537,3654405
2001.0,53,F,7824,1855738
2001.0,53,M,12073,1775276
2001.0,53,T,19897,3631014
2001.0,54,F,8457,1946664
2001.0,54,M,13292,1862076
2001.0,54,T,21749,3808740
2001.0,55,F,7411,1464238
2001.0,55,M,11552,1386854
2001.0,55,T,18963,2851092
2001.0,56,F,7958,1463829
2001.0,56,M,12151,1383009
2001.0,56,T,20109,2846838
2001.0,57,F,8815,1447922
2001.0,57,M,13207,1357485
2001.0,57,T,22022,2805407
2001.0,58,F,9815,1500388
2001.0,58,M,14710,1399744
2001.0,58,T,24525,2900132
2001.0,59,F,9723,1333019
2001.0,59,M,14181,1232487
2001.0,59,T,23904,2565506
2001.0,60,F,9811,1241416
2001.0,60,M,14542,1138884
2001.0,60,T,24353,2380300
2001.0,61,F,10330,1213556
2001.0,61,M,14909,1110151
2001.0,61,T,25239,2323707
2001.0,62,F,11082,1156768
2001.0,62,M,15801,1056502
2001.0,62,T,26883,2213270
2001.0,63,F,11904,1141614
2001.0,63,M,16672,1030410
2001.0,63,T,28576,2172024
2001.0,64,F,12332,1080816
2001.0,64,M,17233,966203
2001.0,64,T,29565,2047019
2001.0,65,F,13193,1068644
2001.0,65,M,18366,943626
2001.0,65,T,31559,2012270
2001.0,66,F,14295,1075042
2001.0,66,M,19340,938399
2001.0,66,T,33635,2013441
2001.0,67,F,14971,993065
2001.0,67,M,19994,857420
2001.0,67,T,34965,1850485
2001.0,68,F,16051,1001409
2001.0,68,M,21299,851383
2001.0,68,T,37350,1852792
2001.0,69,F,17612,996458
2001.0,69,M,23111,836787
2001.0,69,T,40723,1833245
2001.0,70,F,19075,994877
2001.0,70,M,24481,822982
2001.0,70,T,43556,1817859
2001.0,71,F,21031,1018307
2001.0,71,M,26412,826369
2001.0,71,T,47443,1844676
2001.0,72,F,22278,969044
2001.0,72,M,27749,774723
2001.0,72,T,50027,1743767
